ParticipantID,V6,V8,V9,V10,Consent,ConditionACTIVE1PASSIVE2,ingVH_I1,ingVH_C1,ingVH_I2,ingVH_C2,ingVS_I1,ingVS_C1,ingVS_I2,ingVS_C2,ingPH_I1,ingPH_C1,ingPH_I2,ingPH_C2,ingPS_I1,ingPS_C1,ingPS_I2,ingPS_C2,edVH_I1,edVH_C1,edVH_I2,edVH_C2,edVS_I1,edVS_C1,edVS_I2,edVS_C2,edPH_I1,edPH_C1,edPH_I2,edPH_C2,edPS_I1,edPS_C1,edPS_I2,edPS_C2,EDU,EDUOTHER,ENGNATIVE,ENGYEARS,POL,REL,AGE_1_TEXT,ETHNIC,GENDER,COMMENTS,H_I_V,H_C_V,S_I_V,S_C_V,H_I_P,H_C_P,S_I_P,S_C_P,INJ_V,INJ_P,CON_P,CON_V,CON,INJ
R_2TYkImkL5tHPfYW,184.5.141.49,7/1/2016 17:31:15,7/1/2016 17:41:49,1,1,1,0,0,0,0,0,0,0,0,7,5,7,4,7,5,6,5, , , , , , , , , , , , , , , , ,2, ,1, ,3,7,60,caucasian,2,no,0,0,0,0,7,4.5,6.5,5,0,6.75,4.75,0,2.375,3.375
R_1JOU7qfV1O5Uhyq,68.6.183.110,7/1/2016 15:59:10,7/1/2016 16:01:11,1,1,1,0,0,0,0,0,3,0,3,5,1,7,1,7,5,7,2, , , , , , , , , , , , , , , , ,4, ,1, ,7,1,26,White,1, ,0,0,0,3,6,1,7,3.5,0,6.5,2.25,1.5,1.875,3.25
R_27DMae4s884CkwU,76.110.75.110,7/1/2016 15:50:02,7/1/2016 15:53:08,1,1,1,7,7,6,5,0,0,0,0,7,6,7,5,7,5,7,6, , , , , , , , , , , , , , , , ,4, ,1, ,1,7,31,"jewish, cherokee, german, belorussian",2,n/a thanks,6.5,6,0,0,7,5.5,7,5.5,3.25,7,5.5,3,4.25,5.125
R_PUwuMRCbpTCNsK5,173.216.247.111,7/1/2016 17:32:29,7/1/2016 17:34:05,1,1,1,0,0,0,0,0,1,0,2,7,6,7,4,5,7,5,6, , , , , , , , , , , , , , , , ,3, ,1, ,1,4,28,White,1, ,0,0,0,1.5,7,5,5,6.5,0,6,5.75,.75,3.25,3
R_10IvWNFiZ548JW8,146.137.70.71,7/1/2016 14:54:59,7/1/2016 14:56:44,1,1,1,0,0,1,1,1,1,1,1,6,3,6,3,4,2,6,5, , , , , , , , , , , , , , , , ,6, ,1, ,6,5,33,White,1, ,.5,.5,1,1,6,3,5,3.5,.75,5.5,3.25,.75,2,3.125
R_2ZIWlAgmIQLZkOh,50.160.165.227,7/1/2016 19:49:46,7/1/2016 19:53:58,1,1,1,7,1,7,2,7,6,7,2,7,5,7,6,7,6,7,7, , , , , , , , , , , , , , , , ,5, ,1, ,2,7,72,black,2,Curious about the results,7,1.5,7,4,7,5.5,7,6.5,7,7,6,2.75,4.375,7
R_PU87JlOkymPi2Zz,74.211.93.140,7/1/2016 18:47:11,7/1/2016 18:49:09,1,1,1,1,6,2,0,6,5,0,6,6,6,5,4,7,7,7,7, , , , , , , , , , , , , , , , ,4, ,1, ,1,6,25,White,1,Thanks!,1.5,3,3,5.5,5.5,5,7,7,2.25,6.25,6,4.25,5.125,4.25
R_ABQDE9QJ2mrCWI1,67.165.51.192,7/1/2016 20:07:19,7/1/2016 20:08:48,1,1,1,7,0,5,0,6,0,4,0,7,7,7,7,7,7,7,7, , , , , , , , , , , , , , , , ,5, ,1, ,7,4,39,Asian American,2, ,6,0,5,0,7,7,7,7,5.5,7,7,0,3.5,6.25
R_2qrdo4pGaeJwDiP,100.6.132.106,7/1/2016 17:59:36,7/1/2016 18:01:56,1,1,1,6,2,7,1,5,1,7,2,1,7,1,7,1,7,3,7, , , , , , , , , , , , , , , , ,2, ,1, ,7,1,27,White,2, ,6.5,1.5,6,1.5,1,7,2,7,6.25,1.5,7,1.5,4.25,3.875
R_3DcIckpKpUgkKaE,172.248.213.77,7/1/2016 19:56:29,7/1/2016 19:58:48,1,1,1,7,0,7,1,0,0,0,0,7,2,7,1,6,3,5,2, , , , , , , , , , , , , , , , ,1, ,1, ,4,5,27,hispanic,1,was good survey to do thank you letting me participate,7,.5,0,0,7,1.5,5.5,2.5,3.5,6.25,2,.25,1.125,4.875
