ParticipantID,edu,eduother,engnative,engyrs,politics,religion,age,ethnicity,gender,comments,VICTIM_PERP,Condition,tainted,harmed,disobeyed,resilience,Blame
R_3HhLVPvRcbAAobG,5, ,1, ,3,1,50,White,3,good luck with your research,p,continuo,6,1,0,2,7
R_1IhOMZ5TEP28QUt,3, ,1, ,6,2,34,White,3, ,v,isolate,2,5,7,4,0
R_74Adr06yv8hjEad,3, ,1, ,7,5,31,white,3, ,v,contagio, ,7,7,5,0
R_12JD7VeX7L3XfLe,3, ,1, ,7,1,24,white,3,none,v,temporar,0,7,3,6,0
R_1F8IdNwYIDZ5Gz6,5, ,1, ,6,1,24,white,3, ,v,temporar,0,5,6,3,0
R_1mmX4j2y5XioPr8,3, ,1, ,7,1,22,white,3, ,v,partial,5,5,7,3,0
R_2WO3jWsiHxR1HXi,3, ,2,12,7,1,20,Asian,3, ,p,temporar,0,1,0,3,4
R_3erjKXZ9yDBr2AR,8, ,1, ,4,1,28,Caucasian,2, ,p,isolate,0,0,3,0,7
R_3MtkUqnu9n0BODI,4, ,1, ,4,1,90,White / Caucasian,2, ,v,partial,6,6,7,4,0
R_2AYKBBfHsdNe2ad,6,N/A,1, ,3,5,81,Caucasian,2,Are you assuming that Kim's treatment did NOT benefit her?,p,continuo,0,0,0,3,7
R_Ahe7Bk1D4GLDlRL,4, ,1, ,7,1,77,caucasian non-hispanic,2,thank you,p,isolate,0,0,0,3,6
R_1Fm1J16Uoobf9bs,4, ,1, ,6,4,77,white,2, ,v,isolate,6,7,7,6,0
R_2V7tiMPji66pPFs,2, ,1, ,6,1,75,White,2,"my electric power went out halfway through, so took me awhile.",v,complete,1,6,6,2,0
R_2xyCG28zDOu2uoa,4, ,1, ,3,1,73,caucasian North American USA,2,Just want to say thank you for the work.,v,continuo,4,4,4,4,0
R_1RlRO8D1Qb8oehr,3, ,1, ,6,6,72,white caucasian,2,no,p,isolate,1,1,1,4,7
R_1o53epVOGjJsG8e,4, ,1, ,4,3,71,white,2,no,v,temporar,1,6,6,2,0
R_ZwL5agRzvLkU3qp,6, ,1, ,4,3,70,white,2, ,p,isolate,4,4,0,6,7
R_1IRfoSu5xcZduE8,3, ,1, ,4,4,70,WHITE,2,NO,p,partial,6,6,5,5,7
R_25MjU6BLLPuRRdF,3, ,1, ,1,7,70,caucasian,2,"Kim was the perpetrator and not the victim.  I thought at first you had mistakenly left out the fact that Kim was mugged, and only clearly understanding  at the end of the survey that she, herself had commited the crime.",p,temporar,5,3,5,5,6
R_cNLF7xl1wwrx4FH,4, ,1, ,1,7,70,white,2,easy to follow,v,continuo,0,5,6,1,0
R_6JWUO6WWtVWTww9,3, ,1, ,5,6,70,white,2, ,v,contagio,5,5,6,5,0
R_22ITDGZjh0ArOSu,3, ,1, ,4,2,68,caucasian,2,NO,p,contagio,5,6,5,4,6
R_C1aMH5vDQZhrNPr,5, ,1, ,2,6,68,American,2, ,p,partial,5,0,0,4,7
R_1oB8xIk3YQGyn7x,4, ,1, ,1,6,68,American,2,no,p,partial,3,0,0,2,7
R_2avBKxJQqSBgjPr,4, ,1, ,6,2,67,black/white/Native American,2,no,v,isolate,3,5,5,4,0
R_udMoqGcY35Aq7Ul,4, ,1, ,7,1,67,Caucasian,2, ,v,partial,4,7,0,3,0
R_3hnAqHQuSj0Naa6,6, ,1, ,4,2,67,White,2,no,v,complete,1,7,7,5,0
R_3CCqSXtyI1dlIXE,3, ,1, ,2,7,66,caucasian,2, ,p,continuo,1,1,1,6,7
R_1q3e64Q1gV6xfuQ,2, ,1, ,3,7,66,white,2, ,p,continuo,0,0,0,6,7
R_2y8yMOvxpSkG16c,5, ,1, ,6,7,66,white,2,none,p,continuo,6,6,0,5,7
R_UDvlZAyiCaRU6e5,3, ,1, ,4,4,66,American,2, ,p,continuo,0,2,0,0,7
R_1E0vhudTyJMRFue,4, ,1, ,1,7,66,white,2,no,p,isolate,0,0,0,4,7
R_2aegQMUNXx1jo2W,7, ,1, ,5,4,66,caucasian,2, ,p,complete,7,0,0,2,7
R_2QhX69WXF9KcMw6,4, ,1, ,6,5,66,black,2,No,v,isolate,0,5,2,5,0
R_3EcKFKvaystMMMv,3, ,1, ,2,2,66,white,2, ,v,isolate,0,6,5,1,0
R_2fwmqfVa1YtLz6P,3, ,1, ,3,6,66,Caucasian,2, ,v,complete,1,7,7,5,0
R_eqUxBjVQ8PBlb7H,4, ,1, ,6,4,66,Caucasian/White,2,Thanks for the survey.,v,complete,5,5,4,3,0
R_3kaXkk38rWojSRs,5, ,1, ,4,1,66,white,2,no,v,complete,1,6,7,1,0
R_1P11wIFQKniq1rM,4, ,1, ,6,4,65,whtie,2,NO,p,contagio,2,6,3,5,5
R_3RjyrwFNsO2zjLI,1, ,1, ,5,5,65,white,2,no,p,contagio,6,2,4,3,7
R_2aUYV3sqPd46G9A,8,GED,1, ,4,4,65,White,2,No,p,partial,5,5,2,3,6
R_xhe8T6zooJSIZsR,4, ,2,12,5,1,65,white,2,no,p,complete,4,1,5,6,7
R_2tJxLYlpNA97aUc,3, ,1, ,5,5,65,Caucasian,2, ,v,continuo,3,6,6,3,0
R_3EnlS9ikiHZPeVT,5, ,1, ,5,6,65,White/Caucasian,2, ,v,temporar,4,4,6,3,1
R_2SDLMGELmwLLgYb,7, ,1, ,7,5,65,Hispanic,2,no,v,complete,6,7,7,3,0
R_2cA7xNvfUZn2IZO,4, ,1, ,6,3,64,White,2,no,p,partial,5,5,4,2,6
R_3Pe6oDESJe5A3dL,3, ,1, ,4,4,64,white,2,no,p,partial,0,0,0,0,5
R_1LNgMeEtaMsoLkH,5, ,1, ,2,7,64,American white caucasian,2, ,p,complete,7,0,0,0,7
R_PS9Ssq8VUYDny4p,4, ,1, ,2,6,64,WHITE,2, ,v,continuo,4,6,3,4,0
R_1r1tY97HFAvZAX8,3, ,1, ,6,6,64,Caucasian,2,no,v,continuo,7,7,1,4,2
R_1ohDR3evw0BxiRH,5, ,1, ,7,1,64,white American,2, ,v,partial,7,7,7,7,0
R_YYyk7aGMxcApFuN,4, ,1, ,1,6,64,white,2,none,v,temporar,7,6,6,4,0
R_D921MFCPceu152F,5, ,1, ,6,6,64,Caucasian,2, ,v,temporar,0,5,5,3,0
R_Z33MF1dED1VhUQN,4, ,1, ,6,4,63,USA Caucasian,2,none,p,contagio,1,1,1,4,6
R_1f9kWO4E6yleeu2,4, ,1, ,7,4,63,African-American,2,no,p,partial,5,4,0,4,7
R_3PUjgfwG7TCiOpM,3, ,1, ,6,7,63,Caucasian,2,No,p,complete,5,2,6,4,7
R_1lo40CETo9Q9ejW,3, ,1, ,5,1,63,white,2,thank you for the opportunity to participate,v,temporar,7,7,7,7,0
R_3QS1nJz7ohX1yDM,3, ,1, ,6,6,63,white,2, ,v,temporar,3,2,4,3,4
R_b4uAQMs4R7fhdKN,3, ,1, ,7,4,62,african american,2,no comments,p,partial,5,3,7,4,4
R_AnwZzXYYoYBxJ7z,5, ,1, ,6,1,62,caucasian,2,no,p,temporar,4,1,0,2,6
R_240Pas40xf2Et6r,4, ,1, ,4,1,62,Caucasian,2,Thanks!,p,temporar,1,5,3,1,7
R_T5FNYURsaUmY9tD,4, ,1, ,6,4,62,caucasian,2, ,v,isolate,1,5,1,4,0
R_3kv2EcVUVzASqwT,3, ,1, ,6,2,62,Caucasion,2,no,v,isolate,5,5,6,4,0
R_3kdmfUOyS52yYMd,4, ,1, ,6,4,62,white,2, ,v,partial,7,7,7,5,0
R_vTy037On0X88kYp,8,vocational school,1, ,7,2,62,white,2, ,v,complete,0,7,7,4,0
R_xmiQPoXry4KvKBX,3, ,1, ,5,4,62,Caucasian,2,none,v,complete,1,5,7,3,0
R_21nwp64ludW7TFs,4, ,1, ,1,7,61,White American,2,I thought it was strange that a woman did the mugging.,p,contagio,6,2,4,2,7
R_066nC06lUWxkJAR,4, ,1, ,1,7,61,White,2,No,p,partial,3,5,3,3,4
R_DdxafvMUCkFHE1X,3, ,1, ,3,4,61,white,2,no,p,temporar, , , ,4,7
R_1K6z44RIKCyqL8Z,7, ,1, ,4,6,61,white,2,no,p,complete,4,4,0,4,7
R_1CrlMHMuNgJhbfT,3, ,1, ,4,6,61,Black,2,no,v,contagio,7,7,7,5,0
R_W8z35AcpZiRK27T,4, ,1, ,3,6,61,White,2,None,v,contagio,3,5,7,4,0
R_3dQaKh5K9u8T6gj,6, ,1, ,6,1,61,white,2, ,v,contagio,5,6,6,3,0
R_23TUUA8QZzeAYzo,4, ,1, ,4,4,61,American,2, ,v,contagio,3,7,7,3,0
R_py4p90Z0bckVkKB,3, ,1, ,6,5,61,Caucasian,2, ,v,isolate,0,7,6,3,0
R_33eGtHpeYXH39Ph,5, ,1, ,4,6,61,WHITE,2, ,v,partial,5,6,7,5,0
R_3JmidrJaSwjjpbB,4, ,1, ,6,2,61,black,2,n/a,v,temporar,1,7,7,3,0
R_12yEp2RZ7383bpQ,5, ,1, ,6,4,60,White,2, ,p,continuo,0,1,0,5,7
R_2Y68lmWS25A1IK4,3, ,1, ,6,1,60,caucasian,2, ,p,isolate,6,4,4,6,7
R_1g6gqqeI7JBmSGk,5, ,1, ,3,4,60,white,2, ,p,isolate,1,1,5,6,7
R_323oV1LSk0iVt63,8,Associates Degree,1, ,1,7,60,White,2,none,p,partial,2,0,0,4,7
R_2rTRHzAJdx9xAKt,3, ,1, ,5,4,60,American,2,no,p,partial,2,2,6,3,6
R_r2bs59XktsSjfzj,3, ,1, ,3,6,60,white,2, ,p,temporar,5,6,5,4,1
R_1M4BemlbmRTkPFM,4, ,1, ,4,6,60,White Caucasian,2,No,p,complete,0,1,0,4,6
R_RnvSXHLZIiuygVP,3, ,1, ,6,1,60,white,2, ,v,continuo,5,6,7,3,0
R_ZxSXQfnoKBjwEM1,5, ,1, ,5,6,60,Caucasian,2,thank you,v,continuo,6,7,7,2,0
R_qzlNqKMn617pdzr,2, ,1, ,6,6,60,Caucasian,2, ,v,contagio,6,6,5,3,1
R_1MTlaqgVqW0jsTf,2, ,1, ,7,4,60,European-American,2, ,v,complete,5,7,5,4,0
R_wXebf6jsf8zrzjj,5, ,1, ,2,5,60,caucasion,2,interesting,v,complete,5,7,5,2,0
R_3PKXLMFHX47eP8O,2, ,1, ,4,4,60,white,2,no,v,complete,1,7,1,2,0
R_3OifSBTxMs2pI09,5, ,1, ,5,4,59,White,2, ,p,contagio,5,0,0,5,6
